Need,Deft
Delete,Impose
NeedDelete,DeftImpose
is,So
Test,Tune
isTest,SoTune
Keys,Wary
target,Seldom
Click,Flute
Btn,Via
ClickBtn,FluteVia
corners,Kinship
center,Indium
radius,Hollow
material,Titanium
current,Loyally
Radius,Breach
currentRadius,LoyallyBreach
shrink,Mainly
Time,Port
shrinkTime,MainlyPort
event,Chunk
Penetrate,Aesthetic
eventPenetrate,ChunkAesthetic
Velocity,Magnetic
shrinkVelocity,MainlyMagnetic
Image,Knife
targetImage,SeldomKnife
Text,Tear
Offset,Brutal
targetOffsetX,SeldomBrutalX
targetOffsetY,SeldomBrutalY
currentOffsetX,LoyallyBrutalX
currentOffsetY,LoyallyBrutalY
Currentindex,Musicologist
shrinkVelocityX,MainlyMagneticX
shrinkVelocityY,MainlyMagneticY
Chapter,Traffic
Count,Extol
ChapterCount,TrafficExtol
Change,Factor
Clear,Virgo
Block,Hardy
Stage,Share
ChangeClearBlockStage,FactorVirgoHardyShare
ClearBlock,VirgoHardy
Target,Cobalt
Fly,Elk
TargetBlockFly,CobaltHardyElk
Wheel,Bowel
Reward,Mortal
WheelReward,BowelMortal
Scratchcard,Incorrectly
ScratchcardReward,IncorrectlyMortal
Source,Backup
SourceReward,BackupMortal
Game,When
Failed,Lethal
GameFailed,WhenLethal
Success,Iceberg
GameSuccess,WhenIceberg
accumulate,Philosophy
accumulateCount,PhilosophyExtol
Cur,Pry
Complete,Homeless
Word,Epic
CurCompleteWord,PryHomelessEpic
Sch,Lop
CurChapterSch,PryTrafficLop
Total,Early
CurTotalChapter,PryEarlyTraffic
Have,Care
Scratch,Company
Card,Scat
isHaveScratchCard,SoCareCompanyScat
isHaveScratchReward,SoCareCompanyMortal
isHaveWheel,SoCareBowel
isHaveSource,SoCareBackup
Schedule,Overtime
next,File
Step,Save
nextStep,FileSave
_nextStep,_FileSave
finish,Finish
Call,Weft
Back,Good
finishCallBack,FinishWeftGood
_finishCallBack,_FinishWeftGood
ready,Vapor
today,Fault
Once,Mere
OnceSource,MereBackup
Mental,Attach
MentalRewardID,AttachMortalID
TotalMental,EarlyAttach
Data,Gaze
One,Dam
OneReward,DamMortal
Two,Hue
TwoReward,HueMortal
Three,Dutch
ThreeReward,DutchMortal
Four,Slit
FourReward,SlitMortal
Info,Coma
Objs,Clue
RewardInfoObjs,MortalComaClue
Select,Chorus
Day,Yam
SelectDaySchImage,ChorusYamLopKnife
Spine,Begin
Ani,Sun
SpineAni,BeginSun
SelectDaySchText,ChorusYamLopTear
Dic,Say
SelectDaySchDicText,ChorusYamLopSayTear
BlockBtn,HardyVia
Widget,Lizard
Obj,Put
MentalWidgetObj,AttachLizardPut
scroll,Friend
Rect,Main
scrollRect,FriendMain
select,Parrot
Int,Win
selectInt,ParrotWin
Ad,By
AdBtn,ByVia
Normal,Expert
NormalBtn,ExpertVia
Cash,Hurl
CashText,HurlTear
SchText,LopTear
Tittle,Toward
TittleText,TowardTear
Little,Memory
LittleSchText,MemoryLopTear
SchImage,LopKnife
SchTwoImage,LopHueKnife
CashImage,HurlKnife
Coin,Luce
CoinImage,LuceKnife
Value,Seedy
Top,Wax
TopImage,WaxKnife
Bottom,Domain
BottomImage,DomainKnife
Start,Sewer
StartSpine,SewerBegin
Otherfinish,Grammatical
Slot,Blip
List,Name
SlotBlockList,BlipHardyName
BlockList,HardyName
AD,AD
BlockList_AD,HardyName_AD
Scale,Habit
TimeScale,PortHabit
Double,Ethnic
DoubleBtn,EthnicVia
Receive,Conquer
ReceiveBtn,ConquerVia
Loops,Scout
Box,Fen
BoxSpine,FenBegin
Bar,Mud
RewardBar,MortalMud
show,Lint
showList,LintName
RewardText,MortalTear
SlotObjs,BlipClue
End,Rye
EndRewardText,RyeMortalTear
CoinText,LuceTear
CoinTF,LuceTF
CashTF,HurlTF
value,Style
info,Hear
Multiplier,Militarily
ui,No
Element,Removal
uiElement,NoRemoval
control,Plummet
Point,Spend
controlPoint,PlummetSpend
duration,Electric
t,t
Free,Warm
Spin,Moss
FreeSpinBtn,WarmMossVia
RewardObjs,MortalClue
WheelObj,BowelPut
Effect,Puffin
EffectObj,PuffinPut
WheelSpineAni,BowelBeginSun
rewards,Vestige
Get,His
Type,Well
GetRewardType,HisMortalWell
spin,Wood
Counts,Shaper
spinCounts,WoodShaper
Show,Ford
ShowList,FordName
Gold,From
Button,Proton
GoldButton,FromProton
Token,Meter
TokenBtn,MeterVia
Next,Dirt
NextBtn,DirtVia
FailedBtn,LethalVia
Challenge,Swordfish
Retay,Creep
ChallengeRetayBtn,SwordfishCreepVia
Home,Find
HomeBtn,FindVia
SuccessRewardImage,IcebergMortalKnife
SuccessRewardText,IcebergMortalTear
Slider,Mildly
BoxRewardSlider,FenMortalMildly
BoxRewardSchObj,FenMortalLopPut
TargetObjs,CobaltClue
Best,Lime
ChallengeBestSourceText,SwordfishLimeBackupTear
CurChallengeSourceText,PrySwordfishBackupTear
CurChallengeSourceTwoText,PrySwordfishBackupHueTear
BestChallengeSourceTwoText,LimeSwordfishBackupHueTear
Rewad,Close
ChallengeRewadImage,SwordfishCloseKnife
Rewed,Style
ChallengeRewedText,SwordfishRewedTear
FX,FX
FX_Challenge,FX_Swordfish
Fire,Four
Work,Arab
FireWork,FourArab
FX_FireWork,FX_FourArab
RewardChallengeCash,MortalSwordfishHurl
Group,Giant
PBGroup,PBGiant
Ancu,Bake
Scene,Pupil
Mask,Five
ChangeSceneMask,FactorPupilFive
TopBar,WaxMud
type,Whip
BlockGroupObjs,HardyGiantClue
Combo,Block
Item,Bath
ComboItem,BlockBath
SourceItem,BackupBath
Check,Route
Board,Novel
CheckBoardGroup,RouteNovelGiant
GameBoard,WhenNovel
BlockSP,HardySP
More,Toad
MoreClear,ToadVirgo
ComboSpine,BlockBegin
TargetBarObj,CobaltMudPut
SourceBarObj,BackupMudPut
Cue,Gel
CueSourceText,GelBackupTear
Max,Ute
MaxSourceText,UteBackupTear
Guide,Quilt
GuideSpine,QuiltBegin
MaskObj,FivePut
ClearSpineRect,VirgoBeginMain
Square,Gender
ClearSpineSquare,VirgoBeginGender
time,Heal
isStart,SoSewer
Setting,Forever
SettingBtn,ForeverVia
Brain,Fatty
BrainBtn,FattyVia
TargetList,CobaltName
Level,Crude
Over,Rote
LevelOverSpine,CrudeRoteBegin
Airwall,Dolphin
LevelStart,CrudeSewer
Right,Cliff
WheelRightImage,BowelCliffKnife
WheelReward1,BowelMortal1
WheelReward2,BowelMortal2
BrainImage,FattyKnife
Progress,Regional
BrainProgressText,FattyRegionalTear
BottomBar,DomainMud
Bonus,Tempt
BonusSpine,TemptBegin
Circle,Tunnel
Guidance,Spoilage
CircleGuidanceObj,TunnelSpoilagePut
RectGuidanceObj,MainSpoilagePut
GuideText,QuiltTear
GuideTwoText,QuiltHueTear
MaskBtn,FiveVia
sch,Pul
ChallengeBtn,SwordfishVia
Classic,Redwing
ClassicBtn,RedwingVia
ClassicBtnText,RedwingViaTear
No,By
NoClassicBtn,NoRedwingVia
ADButton,ADProton
NextLevelButton,DirtCrudeProton
ADText,ADTear
SlotBG,BlipBG
RewardCashImage,MortalHurlKnife
RewardGoldImage,MortalFromKnife
reward,Girder
rewardValue,GirderSeedy
has,Wet
Clicked,Presage
hasClickedAdBtn,WetPresageByVia
BG,BG
targetList,SeldomName
slider,Gaslit
sliderImage,GaslitKnife
progress,Building
Percent,Seepage
progressPercent,BuildingSeepage
ProgressText,RegionalTear
Version,Fresher
VersionText,FresherTear
percent,Melange
LAST,LAST
LOGIN,LOGIN
DATE,DATE
KEY,KEY
LAST_LOGIN_DATE_KEY,LAST_LOGIN_DATE_KEY
multi,Spark
item,Utah
text,Tang
textItem,TangBath
OnceChapterObjs,MereTrafficClue
ChangeSchBtn,FactorLopVia
CurLevelText,PryCrudeTear
Content,Rawhide
Trophy,Rocket
TrophyFX,RocketFX
TrophyImage,RocketKnife
ShowObjs,FordClue
Revive,Phrase
ReviveText,PhraseTear
rewardType,GirderWell
Scraping,Outsider
Widgets,Popular
ScrapingCardWidgets,OutsiderScatPopular
RewardObj,MortalPut
Rub,Win
RewardRubObj,MortalRubPut
RubObj,WinPut
Hide,Ibex
Cover,Seedy
HideCoverBtn,IbexCoverVia
rewardItem,GirderBath
_rewardItem,_GirderBath
rewardCount,GirderExtol
Pool,Pony
TotalRewardPool,EarlyMortalPony
clear,Heavy
clearCount,HeavyExtol
rewardPool,GirderPony
Sound,Biome
Sound_Button,Biome_Proton
Music,Raise
Music_Button,Raise_Proton
Vibration,Amazement
VibrationBtn,AmazementVia
Bug,Bus
BugInfoButton,BusComaProton
Icon,Leak
SoundIcon,BiomeLeak
MusicIcon,RaiseLeak
VibrationIcon,AmazementLeak
BackBtn,GoodVia
Open,Kiln
Sprite,Silent
SoundOpenSprite,BiomeKilnSilent
MusicOpenSprite,RaiseKilnSilent
VibrationOpenSprite,AmazementKilnSilent
Debug,Thumb
Index,Frown
DebugInfoIndex,ThumbComaFrown
Init,Bank
InitGroup,BankGiant
template,Achingly
Multi,Exalt
Object,Script
templateMultiObject,AchinglyExaltScript
Width,Gesso
itemWidth,UtahGesso
RewardIcon,MortalLeak
GoldIcon,FromLeak
CashIcon,HurlLeak
Finish,Market
FinishIcon,MarketLeak
name,Plow
volume,Attest
file,Soda
Path,Odor
filePath,SodaOdor
Audio,Canal
Mgr,Eka
AudioMgr,CanalEka
Component,Kilometer
Queue,Purge
AudioComponentQueue,CanalKilometerPurge
MaxCount,UteExtol
AudioQueue,CanalPurge
m,m
bg,ID
bgMusic,IDRaise
m_bgMusic,m_IDRaise
Play,Item
PlayAudioSourceList,ItemCanalBackupName
Interval,Isotopic
CheckInterval,RouteIsotopic
Bg,Of
Switch,Climax
BgMusicSwitch,OfRaiseClimax
_BgMusicSwitch,_OfRaiseClimax
EffectMusicSwitch,PuffinRaiseClimax
_EffectMusicSwitch,_PuffinRaiseClimax
Volume,Starch
BgVolume,OfStarch
_BgVolume,_OfStarch
EffectVolume,PuffinStarch
_EffectVolume,_PuffinStarch
BGM,BGM
Name,Knot
BGM_Name,BGM_Knot
Dict,Farm
AudioSettingDict,CanalForeverFarm
Round,Merit
Digits,Crouch
RoundDigits,MeritCrouch
frames,Floral
framerate,Earthward
ignore,Future
ignoreTimeScale,FuturePortHabit
loop,Meet
curve,Lvory
image,Human
sprite,London
Renderer,Integral
spriteRenderer,LondonIntegral
Frame,Drama
currentFrameIndex,LoyallyDramaFrown
timer,Boule
Framerate,Literally
currentFramerate,LoyallyLiterally
Target_Type,Cobalt_Well
Layout,Climax
Layout_Type,Layout_Well
Run,Don
Run_Time,Don_Port
Number,Sadden
Layout_Number,Climax_Sadden
appid,Inner
dictionary,Comprehend
Message,Precise
dictionaryMessage,ComprehendPrecise
Bool,Deck
valueBool,StyleDeck
valueBool2,StyleDeck2
valueInt,StyleWin
valueInt2,StyleWin2
valueInt3,StyleWin3
Float,Scour
valueFloat,StyleScour
valueFloat2,StyleScour2
valueDouble,StyleEthnic
valueDouble2,StyleEthnic2
String,Huddle
valueString,StyleHuddle
valueString2,StyleHuddle2
valueGameObject,StyleWhenScript
valueGameObject2,StyleWhenScript2
valueGameObject3,StyleWhenScript3
valueGameObject4,StyleWhenScript4
Transform,Literally
valueTransform,StyleTransform
value2Transform,Style2Literally
valueStringList,StyleHuddleName
Vec,Bis
valueVec,StyleBis
valueVec2List,StyleBis2Name
valueIntList,StyleWinName
message,Outcome
messageCallBack,OutcomeWeftGood
vec,Him
vec2_1,Him2_1
vec2_2,Him2_2
Login,Dusty
Url,Rye
LoginUrl,DustyUrl
Config,Choppy
ConfigUrl,ChoppyRye
TimeUrl,PortRye
Adjust,Plenty
AdjustUrl,PlentyRye
sv,Of
Local,Sedge
User,Deft
Id,Ax
LocalUserId,SedgeUserAx
sv_LocalUserId,sv_SedgeUserAx
Server,Runoff
LocalServerId,SedgeRunoffAx
sv_LocalServerId,Of_SedgeRunoffAx
Is,My
New,Ray
Player,Bovine
IsNewPlayer,MyRayBovine
sv_IsNewPlayer,Of_MyRayBovine
Daily,Roost
Bouns,Watch
DailyBounsGetCount,RoostWatchHisExtol
sv_DailyBounsGetCount,Of_RoostWatchHisExtol
Date,Poll
DailyBounsDate,RoostWatchPoll
sv_DailyBounsDate,Of_RoostWatchPoll
NewUserStep,RayDeftSave
sv_NewUserStep,Of_RayDeftSave
GoldCoin,FromLuce
sv_GoldCoin,Of_FromLuce
Cumulative,Innovation
CumulativeGoldCoin,InnovationFromLuce
sv_CumulativeGoldCoin,Of_InnovationFromLuce
sv_Token,Of_Meter
CumulativeToken,InnovationMeter
sv_CumulativeToken,Of_InnovationMeter
Amazon,Corset
sv_Amazon,Of_Corset
CumulativeAmazon,InnovationCorset
sv_CumulativeAmazon,Of_InnovationCorset
TotalGameTime,EarlyWhenPort
sv_TotalGameTime,Of_EarlyWhenPort
First,Night
FirstGetToken,NightHisMeter
sv_FirstGetToken,Of_NightHisMeter
Has,Day
Rate,Buzz
Panel,Spear
HasShowRatePanel,DayFordBuzzSpear
sv_HasShowRatePanel,Of_DayFordBuzzSpear
Lottery,Jewelry
CumulativeLottery,InnovationJewelry
sv_CumulativeLottery,Of_InnovationJewelry
Already,Radiate
Pass,Blur
Levels,Piston
AlreadyPassLevels,RadiateBlurPiston
sv_AlreadyPassLevels,Of_RadiateBlurPiston
NewUserStepFinish,RayDeftSaveMarket
sv_NewUserStepFinish,Of_RayDeftSaveMarket
task,Beat
level,Write
count,Greet
sv_task_level_count,Of_Beat_Write_Greet
FirstSlot,NightBlip
sv_FirstSlot,Of_NightBlip
Adid,Rare
AdjustAdid,PlentyRare
sv_AdjustAdid,Of_PlentyRare
ad,Ox
trial,Filmy
num,Nor
sv_ad_trial_num,Of_Ox_Filmy_Nor
total,Apply
sv_total_ad_num,Of_Apply_Ox_Nor
BlockGroupCount,HardyGiantExtol
sv_BlockGroupCount,Of_HardyGiantExtol
LevelId,CrudeAx
sv_LevelId,Of_CrudeAx
WheelCount,BowelExtol
sv_WheelCount,Of_BowelExtol
sv_WheelReward,Of_BowelMortal
Today,Below
TodaySourceCount,BelowBackupExtol
sv_TodaySourceCount,Of_BelowBackupExtol
CurSourceCount,PryBackupExtol
sv_CurSourceCount,Of_PryBackupExtol
MaxSourceCount,UteBackupExtol
sv_MaxSourceCount,Of_UteBackupExtol
RewardType,MortalWell
sv_RewardType,Of_MortalWell
RewardValue,MortalSeedy
sv_RewardValue,Of_MortalSeedy
ScratchCardCount,CompanyScatExtol
sv_ScratchCardCount,Of_CompanyScatExtol
Exist,Fleet
ExistScratchCard,FleetCompanyScat
sv_ExistScratchCard,Of_FleetCompanyScat
Place,Query
PlaceBlockCount,QueryHardyExtol
sv_PlaceBlockCount,Of_QueryHardyExtol
ComboCount,BlockExtol
sv_ComboCount,Of_BlockExtol
Mode,Boat
CurGameMode,PryWhenBoat
sv_CurGameMode,Of_PryWhenBoat
MentalSourceInfo,AttachBackupComa
sv_MentalSourceInfo,Of_AttachBackupComa
FinishStage,MarketShare
sv_FinishStage,Of_MarketShare
IsCompleteChapter,MyHomelessTraffic
sv_IsCompleteChapter,Of_MyHomelessTraffic
Preset,Beauty
BlockPreset,HardyBeauty
sv_BlockPreset,Of_HardyBeauty
PresetCount,BeautyExtol
sv_PresetCount,Of_BeautyExtol
Logic,Bliss
Correction,Absolutely
LogicCorrectionBlock,BlissAbsolutelyHardy
sv_LogicCorrectionBlock,Of_BlissAbsolutelyHardy
FloatLogicCorrectionBlock,ScourBlissAbsolutelyHardy
sv_FloatLogicCorrectionBlock,Of_ScourBlissAbsolutelyHardy
Vibrate,Cabbage
IsVibrate,MyCabbage
sv_IsVibrate,Of_MyCabbage
SettingHome,ForeverFind
sv_SettingHome,Of_ForeverFind
Rule,Stay
GuideGameRule,QuiltWhenStay
sv_GuideGameRule,Of_QuiltWhenStay
GuideGameSch,QuiltWhenLop
sv_GuideGameSch,Of_QuiltWhenLop
Record,Entail
DayRecordWidget,YamEntailLizard
sv_DayRecordWidget,Of_YamEntailLizard
Rateus,Worsen
sv_Rateus,Of_Worsen
IsRevive,MyPhrase
sv_IsRevive,Of_MyPhrase
ClassicBonus,RedwingTempt
sv_ClassicBonus,Of_RedwingTempt
mg,We
Window,Spiral
WindowOpen,SpiralKiln
mg_WindowOpen,We_SpiralKiln
Close,Spoon
WindowClose,SpiralSpoon
mg_WindowClose,We_SpiralSpoon
levelcomplete,Micronutrient
mg_ui_levelcomplete,We_No_Micronutrient
addgold,Overrun
mg_ui_addgold,We_No_Overrun
addtoken,Promptly
mg_ui_addtoken,We_No_Promptly
Special,Fishery
addtokenSpecial,PromptlyFishery
mg_ui_addtokenSpecial,We_No_PromptlyFishery
addamazon,Avalanche
mg_ui_addamazon,We_No_Avalanche
Suspend,Gaseous
GameSuspend,WhenGaseous
mg_GameSuspend,We_WhenGaseous
ItemChange,BathFactor
mg_ItemChange_,We_BathFactor_
Refresh,Iceland
RefreshLevelTarget,IcelandCrudeCobalt
mg_RefreshLevelTarget,We_IcelandCrudeCobalt
RefreshSource,IcelandBackup
mg_RefreshSource,We_IcelandBackup
Scard,Three
ScardReward,ThreeMortal
mg_ScardReward,We_ThreeMortal
WheelUI,BowelUI
mg_WheelUI,We_BowelUI
BrainUI,FattyUI
mg_BrainUI,We_FattyUI
And,Day
Com,Bow
CloseAndComGuide,SpoonAndBowQuilt
mg_CloseAndComGuide,We_SpoonAndBowQuilt
ChangeGuideGameRule,FactorQuiltWhenStay
mg_ChangeGuideGameRule,We_FactorQuiltWhenStay
path,View
path_GoldCoin_Sprite,View_FromLuce_Silent
Dimond,Beater
path_Token_Sprite_Dimond,View_Meter_Silent_Beater
path_Block,View_Hardy
TIMEOUT,TIMEOUT
Base,Alga
BaseUrl,AlgaRye
BaseLoginUrl,AlgaDustyRye
BaseConfigUrl,AlgaChoppyRye
BaseTimeUrl,AlgaPortRye
BaseAdjustUrl,AlgaPlentyRye
Code,Rosy
GameCode,WhenRosy
Channel,Husband
country,Foundry
ConfigData,ChoppyGaze
InitData,BankGaze
GameData,WhenGaze
Manager,Faculty
adManager,OxFaculty
gaid,Yelp
aid,Ask
idfa,Clan
ready_count,Vapor_Greet
version,Shopper
GetSuccess,HisIceberg
Fail,Tile
GetFail,HisTile
Net,Wit
NetWorkGetList,WitArabHisName
Post,Harm
NetWorkPostList,WitArabHarmName
URL,URL
Form,Trap
PostSuccess,HarmIceberg
PostFail,HarmTile
PoolQueue,PonyPurge
m_PoolQueue,m_PonyPurge
PoolName,PonyKnot
m_PoolName,m_PonyKnot
Parent,Deadly
m_Parent,m_Deadly
prefab,Region
m_MaxCount,m_UteExtol
Default,Orogeny
DefaultMaxCount,OrogenyUteExtol
m_DefaultMaxCount,m_OrogenyUteExtol
PoolDic,PonySay
m_PoolDic,m_PonySay
Root,Kiwi
RootTransform,KiwiLiterally
m_RootTransform,m_KiwiLiterally
Toast,Weave
ToastText,WeaveTear
need,Risk
needStartRefresh,RiskSewerIceland
ShowObj,FordPut
BlockInfo,HardyComa
Pos,Bur
BlockPos,HardyBur
canvas,Budget
canvasGroup,BudgetGiant
id,Go
_id,_Go
block,Trade
blockItem,TradeBath
_blockItem,_TradeBath
color,Upset
Send,Dram
isOpenSendTime,SoKilnDramPort
Easy,Fine
EasyBlockInfo,FineHardyComa
ChangeBlock,FactorHardy
Sprites,Enclose
BlockSprites,HardyEnclose
BlockTargetSprites,HardyCobaltEnclose
Items,Vogue
ShowBlockItems,FordHardyVogue
BlockGroupItems,HardyGiantVogue
Color,Thing
ColorBlockSprites,ThingHardyEnclose
A,A
ColorBlockSprites_A,ThingHardyEnclose_A
json,Pool
jsonTwo,PoolHue
CheckBoardTarget,RouteNovelCobalt
Limit,Weedy
ClassicSourceCountLimit,RedwingBackupExtolWeedy
BlockImage,HardyKnife
SelectImage,ChorusKnife
Can,Foe
Plete,Unity
CanComPleteImage,FoeBowUnityKnife
ClearObj,VirgoPut
FlyEffect,ElkPuffin
spine,Venue
X,X
Y,Y
original,Adjacent
